Date Published,Document Type,Measure,Drawing Number,Description,View
Select this document,18 Jan 2022,Consultee Comment,,,CONTAMINATED LAND OFFICER,
Select this document,18 Jan 2022,Consultee Comment,,,DRAINAGE ENGINEER,
Select this document,15 Jan 2022,Public Comment,,,"NORTH WILTSHIRE SWIFTS, BEAUMONT HAMEL, WYNDHAM ROAD, SALISBURY",
Select this document,13 Jan 2022,Drawing,,2.0,EXISTING ELEVATIONS,
Select this document,13 Jan 2022,Application Form,,,,
Select this document,13 Jan 2022,Drawing,,1.0,EXISTING PLANS,
Select this document,13 Jan 2022,Drawing,,4.0,PROPOSED ELEVATIONS,
Select this document,13 Jan 2022,Drawing,,3.0,PROPOSED PLANS,
Select this document,13 Jan 2022,Drawing,,,SITE LOCATION PLAN,
Select this document,26 Jan 2022,Consultee Comment,,,HIGHWAYS COMMENTS,
Select this document,21 Jan 2022,Consultee Comment,,,CENTRAL SWINDON NORTH PARISH,
Select this document,20 Jan 2022,Decision,,,,
Select this document,06 Jan 2022,Drawing,,21.17.BRI.PL.LOCATION.REV.2,LOCATION PLAN,
Select this document,06 Jan 2022,Drawing,,21.17.BRI2.PL.LOCATION.REV.2,LOCATION PLAN,
Select this document,06 Jan 2022,Supporting Documents,,,NOTICE UNDER ARTICLE 10,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.BESS.REV.1,BRINDLEY BATTERY,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.CABIN.REV.3,ELEVATIONS,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.FENCING.REV.4,FENCING,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.SITE.NMA850.REV.4,SITE PLAN,
Select this document,21 Dec 2021,Application Form,,,,
Select this document,26 Jan 2022,Consultee Comment,,,HIGHWAYS COMMENTS,
Select this document,21 Jan 2022,Consultee Comment,,,CENTRAL SWINDON NORTH PARISH,
Select this document,20 Jan 2022,Decision,,,,
Select this document,06 Jan 2022,Supporting Documents,,,NOTICE UNDER ARTICLE 10,
Select this document,06 Jan 2022,Drawing,,21.17.BRI.PL.LOCATION.REV.2,LOCATION PLAN,
Select this document,06 Jan 2022,Drawing,,21.17.BRI2.PL.LOCATION.REV.2,LOCATION PLAN,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.BESS.REV.A,BRINDLEY BATTERY,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.CABIN.REV.3,ELEVATIONS,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.FENCING.REV.4,FENCING,
Select this document,21 Dec 2021,Drawing,,21.17.BRI.PL.SITE.NMA850.REV.4,SITE PLAN,
Select this document,21 Dec 2021,Application Form,,,,
Select this document,17 Jan 2022,Decision,,,,
Select this document,15 Jan 2022,Consultee Comment,,,HIGHWAYS,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-00-DR-A-0500 REV C03,LOCATION & BLOCK PLAN,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-00-DR-A-0600 REV C03,SITE PLAN SHOWING LANDSCAPING,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-00-DR-A-1010 REV C03,FIRST & SECOND FLOOR PLANS,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-XX-DR-A-5000 REV C04,NW & SW ELEVATIONS,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-XX-DR-A-5001 REV C04,NE & SE ELEVATIONS,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-XX-DR-A-6000 REV C04,SECTION A-A,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-00-SH-L-0600 REV C02,PLANTING SCHEDULE,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-00-SP-L-0601 REV C01,LANDSCAPE MAINTENANCE SPECIFICATION,
Select this document,17 Dec 2021,Drawing,,211004-ASL-XX-GF-DR-A-1000 REV C02,GROUND FLOOR PLAN,
Select this document,17 Dec 2021,Supporting Documents,,,DOCUMENT ISSUE SHEET,
Select this document,17 Dec 2021,Correspondence,,,COVERING LETTER,
Select this document,17 Dec 2021,Application Form,,,,
Select this document,21 Jan 2022,Delegated Report,,,,
Select this document,21 Jan 2022,Decision,,,,
Select this document,20 Jan 2022,Revised Drawing,,,HOUSETYPES- MILBOURNE OPT 2 PROPOSED,
Select this document,20 Jan 2022,Revised Drawing,,,HOUSETYPES- MILBOURNE OPT 2 PREVIOUS APPROVED,
Select this document,20 Jan 2022,Revised Drawing,,,HOUSETYPES- KINGTON- GABLE PREVIOUS APPROVED,
Select this document,20 Jan 2022,Revised Drawing,,,HOUSETYPES- KINGTON- GABLE PROPOSED,
Select this document,16 Dec 2021,Correspondence,,,COVER LETTER,
Select this document,16 Dec 2021,Drawing,,,LOCATION PLAN,
Select this document,16 Dec 2021,Drawing,,,HOUSETYPES,
Select this document,16 Dec 2021,Drawing,,,PLANNING LAYOUT,
Select this document,28 Jan 2022,Decision,,,,
Select this document,28 Jan 2022,Delegated Report,,,,
Select this document,27 Jan 2022,Consultee Comment,,,CONSERVATION,
Select this document,11 Jan 2022,Consultee Comment,,,CHISELDON PARISH,
Select this document,23 Dec 2021,Consultee Comment,,,HIGHWAYS,
