Katherine Brown,189,35,2011-09-03
Patricia Macias,187,35,1987-05-30
Katie Roberts,201,40,1912-01-31
Taylor Olson,186,47,1973-02-02
Lauren Costa DVM,238,38,1988-01-20
Savannah Freeman,184,44,1949-04-23
Patricia Green,209,32,1911-03-16
Laura Butler,157,41,1962-04-22
Mary Day,210,48,1960-08-03
Heather Adams,224,34,1932-08-31
Susan Hall MD,197,45,1965-07-08
Sarah Rivera,171,36,1941-12-04
Joy Lewis,172,39,1991-01-06
Kristina Spencer,202,29,2006-12-07
Nicole Lara,205,34,1983-04-09
Chelsea Davis,173,41,1930-01-20
Karen Roberts,192,33,1947-11-23
Jennifer Walker,185,47,1908-08-12
Vanessa Cohen,206,21,1955-08-02
Heather Johnson,168,33,2016-09-27
Lisa Smith,201,32,2013-03-08
Patricia Stout,211,33,2009-05-28
Kim Phillips,161,18,1981-11-11
Isabella Moreno,229,30,1958-05-07
Amber Fernandez,181,31,1941-04-08
Jacqueline Barnett,186,23,1992-01-18
Patricia Jones,218,20,1974-03-09
Jessica Dickerson,191,20,1937-04-10
Stephanie Martinez,207,28,1933-07-23
Nancy Hurley,225,42,2007-06-01
Sarah Blake,190,28,2015-05-21
Julie Jackson,231,26,1909-05-09
Erica Torres,184,36,1995-08-07
Miss Meredith Moore,234,23,2017-09-12
Miss Colleen Russell,194,31,1963-10-17
Erica Mueller,225,37,1924-09-23
Rhonda Shaw,155,28,1909-12-19
Jessica Snyder,165,27,1975-12-12
Kathy Mooney,197,23,1950-06-29
Dawn Carpenter,193,30,1931-12-19
Michelle Ramirez,217,23,2004-07-17
Kathleen Sellers,201,49,1977-01-27
Vicki Anderson,234,39,1916-01-03
Ashley Graham,168,38,2015-08-02
Mary Walker,223,42,1914-06-09
Elizabeth Harvey,166,20,1926-11-21
Megan Montoya,238,40,1925-02-28
Catherine Yang,222,43,1906-06-26
Anne Melton,184,20,1915-03-21
Erica Young,167,48,1926-03-06
Amanda Lopez,222,33,1931-09-10
Emily Tucker,167,30,1913-07-27
Alison Tucker,178,22,1979-05-09
Angela Russell,183,27,1922-07-25
Teresa Valenzuela,207,44,2003-03-29
Stacey Barrett,155,46,1989-10-22
Monica Barnes,233,50,1916-09-29
Ashley Taylor,221,46,1935-08-15
Melissa Christian,216,36,1955-04-15
Teresa Ferrell,163,40,2001-11-09
Brittany Lewis,236,28,1942-01-31
Abigail Moore,226,31,1913-04-12
Erika Petersen,186,41,1960-11-04
Kathryn Wilson,190,34,2008-12-31
Kathleen Walker,172,30,1963-01-28
Yvette York,155,42,2001-07-14
Loretta Brown,159,37,1945-05-13
Julia Rogers,207,36,1994-03-03
Amy Wilkinson,201,20,1949-03-28
Ebony Castillo,226,25,2001-07-21
Cathy Harvey,197,18,1991-12-02
Regina Lucas,238,44,1929-06-19
Nicole Henderson,181,30,1965-02-16
Morgan Thompson,221,27,1928-04-05
Beverly Faulkner,195,50,1954-10-30
Cynthia York,160,48,1987-11-22
Candace Barton,179,48,1940-04-29
Dr. Hannah White MD,224,24,1983-11-24
Haley Zamora,229,47,1963-12-05
Diamond Jenkins,203,46,1970-12-27
Megan Rodriguez,197,26,1960-02-26
Karen Hood,165,47,1951-06-30
Charlene Thompson,154,40,1982-03-31
Stacie Tran,209,48,1950-08-31
Cindy Meyer,159,29,1962-06-02
Gabriela Miller,200,47,2007-04-05
Penny Williams,221,32,1927-10-07
Yolanda Brown,156,33,1989-04-18
Lori Perez,223,43,2019-11-02
Laura Campos,165,34,1964-12-05
Stephanie Smith,157,35,1929-01-15
Michelle Johnson,164,29,1958-10-12
Linda Huang,195,28,1935-01-31
Carrie Smith,234,29,1967-06-10
Taylor Bass,175,50,2015-04-16
Annette King,206,39,1966-11-01
Rebecca Jenkins DVM,170,50,1913-08-11
Stacey Jenkins,212,46,1959-08-08
Veronica Orr,175,21,2011-05-19
Sarah Coleman,163,46,2017-12-05
Lauren Gray,232,42,1922-03-17
Rebecca Cole,176,23,2013-08-14
Melissa Walker,165,50,1928-07-08
Robin Harrington,178,37,1962-02-01
Diana Hall,179,29,1957-10-31
Cheryl Walter,199,23,1917-03-14
Sara Cameron,160,47,1994-10-19
Stacy Fuentes,175,37,1924-12-18
Rhonda David,195,37,1918-07-31
Monica Willis,192,42,2012-07-04
Tara Sanchez,170,32,2004-04-18
Donna Jenkins,239,46,1981-06-19
Tracy Moore,178,24,2014-06-05
Yolanda Kelley,237,24,1936-04-19
Erin Diaz,238,34,2010-02-05
Kimberly Smith,230,25,1976-07-07
Mrs. Peggy Steele DDS,184,31,1967-02-22
