David Harmon,177,43,1938-01-12
William Mclaughlin,159,20,1911-02-19
Keith Curtis,213,36,1913-07-20
Christopher Simmons,217,31,1968-04-09
Shane Long,220,37,1948-12-28
John Jones,195,31,1951-04-24
Derek Cooper,189,30,1978-04-03
Jeremy Johnson,206,47,1981-03-04
Charles Marquez,175,20,1944-09-24
Ronald Gillespie,170,23,2008-10-08
Curtis Barron,239,50,1970-09-24
Derrick Sheppard,236,44,1922-07-01
Dustin Vasquez,227,30,1916-03-13
Michael Stephens,202,50,2004-06-08
Scott Taylor,223,18,2004-08-28
Jonathan Wilson,175,25,2009-10-01
Robert Williams,236,25,1947-12-24
Matthew Parker,161,24,1972-03-19
Richard Little,159,45,1976-03-04
Randy Yang,187,38,1987-09-03
Dr. Tanner Townsend DVM,234,30,1931-11-12
Michael Macdonald,198,47,1983-07-06
John Gonzales,203,33,2020-07-22
Aaron Krause,201,27,1981-01-29
Robert Li,229,40,1933-10-23
Derek Kennedy DVM,233,33,1917-09-28
Wayne Ellis,229,28,1959-04-18
Chad Martin,208,43,1980-03-12
Juan Hernandez,163,48,1908-10-21
Russell Hawkins,239,30,2008-03-28
Mario Miller,219,29,1931-07-19
Dr. Thomas Monroe,225,43,2002-10-24
George Smith,170,28,1935-08-30
Arthur Smith,157,33,2012-08-14
Robert Stuart,209,47,1943-07-13
Joshua Robles,191,31,1907-10-06
Keith Harvey,227,48,1920-12-16
Donald Guzman,209,31,1960-11-24
Noah Griffin,169,50,1935-11-18
Raymond Ramirez,184,44,1973-06-03
Mike Miller,186,26,1993-03-27
Jeffrey Frederick,175,48,1934-03-17
Andrew Jones,205,32,1910-02-04
Darren Moore,202,36,2009-04-25
Johnny Davis,153,35,1942-06-07
Jerry Klein,216,48,1917-04-12
James Page,210,31,1918-11-09
Brian Russo,158,34,1936-10-27
Christopher Sandoval,205,29,2000-04-20
Bill Jones,196,25,1989-09-24
Christopher Smith,227,43,2012-01-12
David Copeland,229,42,1939-09-26
Eric Fields,156,27,2000-06-30
Zachary Gordon,199,18,2020-05-31
Cole Schmidt,212,27,1964-12-19
Lawrence Stein,210,40,1924-05-25
Randall Maddox,211,21,1908-04-18
John Wood,193,34,1970-05-24
Charles Miller,161,44,1990-08-24
Jacob Poole,157,43,1910-01-06
Roger Lozano,172,29,1958-06-08
Cesar Pennington,172,39,1921-11-04
Michael Morrow,211,29,1990-11-21
Michael Watson,155,21,1934-10-25
Patrick Johnson,222,40,1935-10-20
Shawn Fernandez,213,43,1924-04-17
Mike Walker,228,30,1969-02-12
Mr. Kevin West,207,21,1970-08-15
Matthew Ramirez,228,41,1993-05-08
Noah Stone,238,31,1966-02-19
Adam Smith,231,46,1909-10-17
Christopher Christensen,169,38,1977-03-07
John Ali,229,33,1985-08-19
Matthew Giles,205,34,1935-03-01
Bryan Hernandez,217,35,1930-09-24
Christopher Dodson,228,48,1934-11-24
Brian Turner,181,44,1949-08-18
Micheal Martin,160,37,1966-09-25
Alejandro Olson,200,24,2000-09-08
Brett Grimes,219,32,1940-12-01
Henry Reid,212,28,1913-04-08
John Harper,232,20,1977-06-27
Jeff Johnson,158,29,1921-05-21
Tracy Jones,174,21,1986-03-13
Stanley Tran,201,32,1992-10-07
Jeff Mosley,192,24,1945-01-09
Cody Turner,228,18,1914-08-27
Andrew Cole,240,24,1949-04-22
Ryan King,196,19,1949-08-07
Grant Hicks,183,40,1955-10-31
Donald Harris,223,40,1994-09-08
David Crawford,154,46,1920-05-15
David Morgan,157,26,1995-11-17
John Cabrera,171,35,1958-10-25
Kevin Hernandez,170,35,1939-07-22
Paul Thornton,195,35,1969-02-24
David Ponce,234,26,2003-11-15
Daniel Herrera,205,50,2016-04-11
Cody Cole,189,44,1954-08-23
Scott Wagner,185,19,1998-01-16
Jonathan Davis,189,39,1929-08-12
Wayne Boyd,195,45,1975-02-27
Anthony Jones,208,23,1923-01-25
Ryan Washington,205,41,1922-06-15
Matthew Cummings,203,50,1990-12-27
Justin Paul,196,27,2019-03-11
Joseph Johnson,199,28,1957-01-01
Robert Garcia,198,34,1935-10-07
John Warner,189,28,1958-03-28
Victor Allen,235,19,2009-05-07
Dr. John Conrad,213,21,1951-12-28
Harry Fernandez,215,20,1966-10-13
Joseph David,225,20,2004-02-14
David Nunez,200,36,1937-09-19
Alexander Caldwell,176,24,2016-11-10
Jimmy Vazquez,212,26,1912-12-09
Zachary Hartman,210,26,1913-06-02
Brandon Chapman,235,21,1969-03-18
Justin Phillips,170,26,1951-11-05
Justin Bailey,166,27,1907-11-20
Joshua White,159,24,1914-07-29
Todd Gonzalez,213,21,1986-04-07
Kevin Howard,163,24,1995-09-24
Benjamin Garrett,161,34,1974-06-02
Michael Flynn,172,29,1952-04-28
Jacob Huynh,219,37,2007-04-29
Stephen May,217,36,2007-08-15
John Ellis,208,40,1978-02-11
Jason Peterson,210,20,1932-12-17
Anthony Good,182,21,2007-07-17
Raymond Wagner,215,46,2017-07-19
Brett Hernandez,167,49,1915-08-11
David Harris,216,26,2014-08-10
Mark Johnson,212,48,1944-09-06
Mark Cook,196,25,1998-01-27
Brian Hall,200,46,1977-04-25
Juan Ellison,161,30,1958-07-19
Mr. Victor Davidson,153,30,1974-02-07
